"ORIGIN","DEST",
"ABE","DTW",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","BNA",
"ABE","SAV",
"ABE","MYR",
"ABE","BNA",
"ABE","MYR",
"ABE","PGD",
"ABE","PGD",
"ABE","MDW",
"ABE","BNA",
"ABE","MYR",
"ABE","MYR",
"ABE","PGD",
"ABE","SAV",
"ABE","BNA",
"ABE","SFB",
"ABE","MDW",
"ABE","MDW",
"ABE","PGD",
"ABE","PIE",
"ABE","PGD",
"ABE","PIE",
"ABE","MDW",
"ABE","PIE",
"ABE","MDW",
"ABE","SFB",
"ABE","SAV",
"ABE","MYR",
"ABE","PIE",
"ABE","MYR",
"ABE","MYR",
"ABE","SFB",
"ABE","MYR",
"ABE","BNA",
"ABE","SAV",
"ABE","SFB",
"ABE","MDW",
"ABE","SFB",
"ABE","BNA",
"ABE","SFB",
"ABE","MYR",
"ABE","PGD",
"ABE","SAV",
"ABE","MYR",
"ABE","PGD",
"ABE","PIE",
"ABE","BNA",
"ABE","SAV",
"ABE","MYR",
"ABE","SFB",
"ABE","SAV",
"ABE","SAV",
"ABE","PGD",
"ABE","BNA",
"ABE","SFB",
"ABE","SFB",
"ABE","MDW",
"ABE","PIE",
"ABE","MDW",
"ABE","PIE",
"ABE","MYR",
"ABE","PIE",
"ABE","MYR",
"ABE","PIE",
"ABE","SFB",
"ABE","PIE",
"ABE","SFB",
"ABE","PIE",
"ABE","MYR",
"ABE","SFB",
"ABE","SFB",
"ABE","PIE",
"ABE","MYR",
"ABE","PGD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","ORD",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","CLT",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABE","DTW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABI","DFW",
"ABQ","SEA",
"ABQ","SEA",
"ABQ","SEA",
"ABQ","SEA",
"ABQ","SEA",
"ABQ","SEA",
"ABQ","SEA",
"ABQ","SEA",
"ABQ","SEA",
"ABQ","SEA",
"ABQ","SEA",
"ABQ","SEA",
"ABQ","SEA",
"ABQ","SEA",
"ABQ","SEA",
"ABQ","SEA",
"ABQ","SEA",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","LAX",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","SLC",
"ABQ","DEN",
"ABQ","IAH",
"ABQ","DEN",
"ABQ","IAH",
"ABQ","DEN",
"ABQ","DEN",
"ABQ","IAH",
"ABQ","DEN",
"ABQ","DEN",
"ABQ","IAH",
"ABQ","DEN",
"ABQ","IAH",
"ABQ","DEN",
"ABQ","DEN",
"ABQ","IAH",
"ABQ","DEN",
"ABQ","IAH",
"ABQ","DEN",
"ABQ","DEN",
"ABQ","IAH",
"ABQ","SFB",
"ABQ","AUS",
"ABQ","SFB",
"ABQ","LAS",
"ABQ","SFB",
"ABQ","AUS",
"ABQ","LAS",
"ABQ","SFB",
"ABQ","AUS",
"ABQ","AUS",
"ABQ","SFB",
"ABQ","LAS",
"ABQ","LAS",
"ABQ","LAS",
"ABQ","LAS",
"ABQ","LAS",
"ABQ","AUS",
"ABQ","AUS",
"ABQ","AUS",
"ABQ","SFB",
"ABQ","LAS",
"ABQ","AUS",
"ABQ","SFB",
"ABQ","SFB",
"ABQ","AUS",
"ABQ","LAS",
"ABQ","BWI",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DEN",
"ABQ","DEN",
"ABQ","LAS",
"ABQ","LAS",
"ABQ","LAX",
"ABQ","MDW",
"ABQ","OAK",
"ABQ","OAK",
"ABQ","OAK",
"ABQ","PHX",
"ABQ","PHX",
"ABQ","PHX",
"ABQ","PHX",
"ABQ","BWI",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DEN",
"ABQ","DEN",
"ABQ","LAS",
"ABQ","LAS",
"ABQ","LAX",
"ABQ","MDW",
"ABQ","OAK",
"ABQ","OAK",
"ABQ","OAK",
"ABQ","PHX",
"ABQ","PHX",
"ABQ","PHX",
"ABQ","PHX",
"ABQ","BWI",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DEN",
"ABQ","DEN",
"ABQ","LAS",
"ABQ","LAS",
"ABQ","LAX",
"ABQ","MDW",
"ABQ","OAK",
"ABQ","OAK",
"ABQ","PHX",
"ABQ","PHX",
"ABQ","PHX",
"ABQ","BWI",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DEN",
"ABQ","DEN",
"ABQ","LAS",
"ABQ","LAS",
"ABQ","LAX",
"ABQ","MDW",
"ABQ","OAK",
"ABQ","OAK",
"ABQ","PHX",
"ABQ","PHX",
"ABQ","PHX",
"ABQ","BWI",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DEN",
"ABQ","DEN",
"ABQ","DEN",
"ABQ","LAS",
"ABQ","LAS",
"ABQ","LAX",
"ABQ","MDW",
"ABQ","OAK",
"ABQ","OAK",
"ABQ","OAK",
"ABQ","PHX",
"ABQ","PHX",
"ABQ","PHX",
"ABQ","PHX",
"ABQ","BWI",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DAL",
"ABQ","DEN",
"ABQ","DEN",
"ABQ","DEN",
"ABQ","LAS",
"ABQ","LAS",
"ABQ","LAX",
"ABQ","MDW",
"ABQ","OAK",
"ABQ","OAK",
"ABQ","OAK",
"ABQ","PHX",
"ABQ","PHX",
"ABQ","PHX",
"ABQ","PHX",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
"ABQ","DFW",
